# PCRE2 conformance known-failures — regenerated by `go run ./cmd/pcre2-bless`.
# Format: <ID>  # <bucket>: <reason>
# Each line is one (pattern, subject) outcome currently failing.
# Removing an ID and re-running the test will require the engine to PASS it.

testinput1:37  # MATCH_MISMATCH: got matched=false, want true
testinput1:225  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
testinput1:227  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
testinput1:229  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
testinput1:232  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
testinput1:234  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
testinput1:236  # PARSE_ERROR: Parse("^[ab\\]cde]"): parse "^[ab\\]cde]": syntax error at col 10: unexpected token near "]"
testinput1:240  # PARSE_ERROR: Parse("^[]cde]"): parse "^[]cde]": syntax error at col 3: unexpected token near "]"
testinput1:242  # PARSE_ERROR: Parse("^[]cde]"): parse "^[]cde]": syntax error at col 3: unexpected token near "]"
testinput1:244  # PARSE_ERROR: Parse("^[]cde]"): parse "^[]cde]": syntax error at col 3: unexpected token near "]"
testinput1:246  # PARSE_ERROR: Parse("^[]cde]"): parse "^[]cde]": syntax error at col 3: unexpected token near "]"
testinput1:249  # PARSE_ERROR: Parse("^[]cde]"): parse "^[]cde]": syntax error at col 3: unexpected token near "]"
testinput1:251  # PARSE_ERROR: Parse("^[]cde]"): parse "^[]cde]": syntax error at col 3: unexpected token near "]"
testinput1:255  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:257  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:259  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:262  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:264  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:266  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:268  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:270  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:272  # PARSE_ERROR: Parse("^[^ab\\]cde]"): parse "^[^ab\\]cde]": syntax error at col 11: unexpected token near "]"
testinput1:276  # PARSE_ERROR: Parse("^[^]cde]"): parse "^[^]cde]": syntax error at col 4: unexpected token near "]"
testinput1:278  # PARSE_ERROR: Parse("^[^]cde]"): parse "^[^]cde]": syntax error at col 4: unexpected token near "]"
testinput1:281  # PARSE_ERROR: Parse("^[^]cde]"): parse "^[^]cde]": syntax error at col 4: unexpected token near "]"
testinput1:283  # PARSE_ERROR: Parse("^[^]cde]"): parse "^[^]cde]": syntax error at col 4: unexpected token near "]"
testinput1:285  # PARSE_ERROR: Parse("^[^]cde]"): parse "^[^]cde]": syntax error at col 4: unexpected token near "]"
testinput1:287  # PARSE_ERROR: Parse("^[^]cde]"): parse "^[^]cde]": syntax error at col 4: unexpected token near "]"
testinput1:291  # PARSE_ERROR: Parse("^\\\x81"): parse "^\\\x81": syntax error at col 3: unexpected token near "\x81"
testinput1:295  # PARSE_ERROR: Parse("^\xff"): parse "^\xff": syntax error at col 2: unexpected token near "\xff"
testinput1:299  # MATCH_MISMATCH: got matched=false, want true
testinput1:301  # MATCH_MISMATCH: got matched=false, want true
testinput1:303  # MATCH_MISMATCH: got matched=false, want true
testinput1:305  # MATCH_MISMATCH: got matched=false, want true
testinput1:307  # MATCH_MISMATCH: got matched=false, want true
testinput1:309  # MATCH_MISMATCH: got matched=false, want true
testinput1:311  # MATCH_MISMATCH: got matched=false, want true
testinput1:313  # MATCH_MISMATCH: got matched=false, want true
testinput1:315  # MATCH_MISMATCH: got matched=false, want true
testinput1:317  # MATCH_MISMATCH: got matched=false, want true
testinput1:319  # MATCH_MISMATCH: got matched=false, want true
testinput1:321  # MATCH_MISMATCH: got matched=false, want true
testinput1:328  # MATCH_MISMATCH: got matched=false, want true
testinput1:330  # MATCH_MISMATCH: got matched=false, want true
testinput1:332  # MATCH_MISMATCH: got matched=false, want true
testinput1:336  # MATCH_MISMATCH: got matched=false, want true
testinput1:338  # MATCH_MISMATCH: got matched=false, want true
testinput1:345  # MATCH_MISMATCH: got matched=false, want true
testinput1:347  # MATCH_MISMATCH: got matched=false, want true
testinput1:349  # MATCH_MISMATCH: got matched=false, want true
testinput1:351  # MATCH_MISMATCH: got matched=false, want true
testinput1:358  # PARSE_ERROR: Parse("^.+?[0-9][0-9][0-9]$"): parse "^.+?[0-9][0-9][0-9]$": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:360  # PARSE_ERROR: Parse("^.+?[0-9][0-9][0-9]$"): parse "^.+?[0-9][0-9][0-9]$": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:362  # PARSE_ERROR: Parse("^.+?[0-9][0-9][0-9]$"): parse "^.+?[0-9][0-9][0-9]$": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:364  # PARSE_ERROR: Parse("^.+?[0-9][0-9][0-9]$"): parse "^.+?[0-9][0-9][0-9]$": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:367  # PARSE_ERROR: Parse("^.+?[0-9][0-9][0-9]$"): parse "^.+?[0-9][0-9][0-9]$": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:371  # MATCH_MISMATCH: got matched=false, want true
testinput1:428  # MATCH_MISMATCH: got matched=false, want true
testinput1:433  # MATCH_MISMATCH: got matched=false, want true
testinput1:447  # PARSE_ERROR: Parse("^(\\d+)\\s+IN\\s+SOA\\s+(\\S+)\\s+(\\S+)\\s*\\(\\s*$"): parse "^(\\d+)\\s+IN\\s+SOA\\s+(\\S+)\\s+(\\S+)\\s*\\(\\s*$": syntax error at col 1: unexpected t…
testinput1:452  # PARSE_ERROR: Parse("^(\\d+)\\s+IN\\s+SOA\\s+(\\S+)\\s+(\\S+)\\s*\\(\\s*$"): parse "^(\\d+)\\s+IN\\s+SOA\\s+(\\S+)\\s+(\\S+)\\s*\\(\\s*$": syntax error at col 1: unexpected t…
testinput1:458  # PARSE_ERROR: Parse("^(\\d+)\\s+IN\\s+SOA\\s+(\\S+)\\s+(\\S+)\\s*\\(\\s*$"): parse "^(\\d+)\\s+IN\\s+SOA\\s+(\\S+)\\s+(\\S+)\\s*\\(\\s*$": syntax error at col 1: unexpected t…
testinput1:462  # MATCH_MISMATCH: got matched=false, want true
testinput1:464  # MATCH_MISMATCH: got matched=false, want true
testinput1:466  # MATCH_MISMATCH: got matched=false, want true
testinput1:468  # MATCH_MISMATCH: got matched=false, want true
testinput1:471  # MATCH_MISMATCH: got matched=false, want true
testinput1:474  # MATCH_MISMATCH: got matched=false, want true
testinput1:482  # MATCH_MISMATCH: got matched=false, want true
testinput1:484  # MATCH_MISMATCH: got matched=false, want true
testinput1:487  # MATCH_MISMATCH: got matched=false, want true
testinput1:491  # MATCH_MISMATCH: got matched=false, want true
testinput1:507  # PARSE_ERROR: Parse("^(?=ab(de))(abd)(e)"): parse "^(?=ab(de))(abd)(e)": syntax error at col 3: unexpected token near "?"
testinput1:514  # PARSE_ERROR: Parse("^(?!(ab)de|x)(abd)(f)"): parse "^(?!(ab)de|x)(abd)(f)": syntax error at col 3: unexpected token near "?"
testinput1:521  # PARSE_ERROR: Parse("^(?=(ab(cd)))(ab)"): parse "^(?=(ab(cd)))(ab)": syntax error at col 3: unexpected token near "?"
testinput1:539  # MATCH_MISMATCH: got matched=false, want true
testinput1:541  # MATCH_MISMATCH: got matched=false, want true
testinput1:544  # MATCH_MISMATCH: got matched=false, want true
testinput1:568  # PARSE_ERROR: Parse("(?x)   ^    a   (?# begins with a)  b\\sc (?# then b c) $ (?# then end)"): parse "(?x)   ^    a   (?# begins with a)  b\\sc (?# then b c) $ (?# then end)…
testinput1:571  # PARSE_ERROR: Parse("(?x)   ^    a   (?# begins with a)  b\\sc (?# then b c) $ (?# then end)"): parse "(?x)   ^    a   (?# begins with a)  b\\sc (?# then b c) $ (?# then end)…
testinput1:573  # PARSE_ERROR: Parse("(?x)   ^    a   (?# begins with a)  b\\sc (?# then b c) $ (?# then end)"): parse "(?x)   ^    a   (?# begins with a)  b\\sc (?# then b c) $ (?# then end)…
testinput1:588  # MATCH_MISMATCH: got matched=false, want true
testinput1:604  # PARSE_ERROR: Parse("^(?:a(b(c)))(?:d(e(f)))(?:h(i(j)))(?:k(l(m)))$"): parse "^(?:a(b(c)))(?:d(e(f)))(?:h(i(j)))(?:k(l(m)))$": syntax error at col 3: unexpected token near "?…
testinput1:616  # PARSE_ERROR: Parse("^[\\w][\\W][\\s][\\S][\\d][\\D][\\b][\\n][\\c]][\\022]"): parse "^[\\w][\\W][\\s][\\S][\\d][\\D][\\b][\\n][\\c]][\\022]": syntax error at col 38: unexpec…
testinput1:620  # PARSE_ERROR: Parse("^[.^$|()*+?{,}]+"): parse "^[.^$|()*+?{,}]+": syntax error at col 4: unexpected token near "^"
testinput1:624  # MATCH_MISMATCH: got matched=false, want true
testinput1:626  # MATCH_MISMATCH: got matched=false, want true
testinput1:628  # MATCH_MISMATCH: got matched=false, want true
testinput1:630  # MATCH_MISMATCH: got matched=false, want true
testinput1:632  # MATCH_MISMATCH: got matched=false, want true
testinput1:634  # MATCH_MISMATCH: got matched=false, want true
testinput1:636  # MATCH_MISMATCH: got matched=false, want true
testinput1:638  # MATCH_MISMATCH: got matched=false, want true
testinput1:642  # PARSE_ERROR: Parse("^a*?\\w"): parse "^a*?\\w": compile: unrecognized quantifier shape: q_0m,q_01
testinput1:644  # PARSE_ERROR: Parse("^a*?\\w"): parse "^a*?\\w": compile: unrecognized quantifier shape: q_0m,q_01
testinput1:646  # PARSE_ERROR: Parse("^a*?\\w"): parse "^a*?\\w": compile: unrecognized quantifier shape: q_0m,q_01
testinput1:648  # PARSE_ERROR: Parse("^a*?\\w"): parse "^a*?\\w": compile: unrecognized quantifier shape: q_0m,q_01
testinput1:650  # PARSE_ERROR: Parse("^a*?\\w"): parse "^a*?\\w": compile: unrecognized quantifier shape: q_0m,q_01
testinput1:652  # PARSE_ERROR: Parse("^a*?\\w"): parse "^a*?\\w": compile: unrecognized quantifier shape: q_0m,q_01
testinput1:654  # PARSE_ERROR: Parse("^a*?\\w"): parse "^a*?\\w": compile: unrecognized quantifier shape: q_0m,q_01
testinput1:656  # PARSE_ERROR: Parse("^a*?\\w"): parse "^a*?\\w": compile: unrecognized quantifier shape: q_0m,q_01
testinput1:660  # MATCH_MISMATCH: got matched=false, want true
testinput1:662  # MATCH_MISMATCH: got matched=false, want true
testinput1:664  # MATCH_MISMATCH: got matched=false, want true
testinput1:666  # MATCH_MISMATCH: got matched=false, want true
testinput1:668  # MATCH_MISMATCH: got matched=false, want true
testinput1:672  # PARSE_ERROR: Parse("^a+?\\w"): parse "^a+?\\w": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:674  # PARSE_ERROR: Parse("^a+?\\w"): parse "^a+?\\w": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:676  # PARSE_ERROR: Parse("^a+?\\w"): parse "^a+?\\w": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:678  # PARSE_ERROR: Parse("^a+?\\w"): parse "^a+?\\w": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:680  # PARSE_ERROR: Parse("^a+?\\w"): parse "^a+?\\w": compile: unrecognized quantifier shape: q_1m,q_01
testinput1:684  # MATCH_MISMATCH: got matched=false, want true
testinput1:686  # MATCH_MISMATCH: got matched=false, want true
testinput1:688  # MATCH_MISMATCH: got matched=false, want true
testinput1:695  # MATCH_MISMATCH: got matched=false, want true
testinput1:697  # MATCH_MISMATCH: got matched=false, want true
testinput1:699  # MATCH_MISMATCH: got matched=false, want true
testinput1:701  # MATCH_MISMATCH: got matched=false, want true
testinput1:708  # PARSE_ERROR: Parse("^[aeiou\\d]{4,5}?"): parse "^[aeiou\\d]{4,5}?": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:710  # PARSE_ERROR: Parse("^[aeiou\\d]{4,5}?"): parse "^[aeiou\\d]{4,5}?": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:712  # PARSE_ERROR: Parse("^[aeiou\\d]{4,5}?"): parse "^[aeiou\\d]{4,5}?": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:714  # PARSE_ERROR: Parse("^[aeiou\\d]{4,5}?"): parse "^[aeiou\\d]{4,5}?": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:716  # PARSE_ERROR: Parse("^[aeiou\\d]{4,5}?"): parse "^[aeiou\\d]{4,5}?": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:720  # MATCH_MISMATCH: got matched=false, want true
testinput1:724  # MATCH_MISMATCH: got matched=false, want true
testinput1:733  # PARSE_ERROR: Parse("^(a)(b)(c)(d)(e)(f)(g)(h)(i)(j)(k)\\11*(\\3\\4)\\1(?#)2$"): parse "^(a)(b)(c)(d)(e)(f)(g)(h)(i)(j)(k)\\11*(\\3\\4)\\1(?#)2$": syntax error at col 48: une…
testinput1:747  # PARSE_ERROR: Parse("^(a)(b)(c)(d)(e)(f)(g)(h)(i)(j)(k)\\11*(\\3\\4)\\1(?#)2$"): parse "^(a)(b)(c)(d)(e)(f)(g)(h)(i)(j)(k)\\11*(\\3\\4)\\1(?#)2$": syntax error at col 48: une…
testinput1:763  # PARSE_ERROR: Parse("(cat(a(ract|tonic)|erpillar)) \\1()2(3)"): parse "(cat(a(ract|tonic)|erpillar)) \\1()2(3)": syntax error at col 34: unexpected token near ")"
testinput1:770  # PARSE_ERROR: Parse("(cat(a(ract|tonic)|erpillar)) \\1()2(3)"): parse "(cat(a(ract|tonic)|erpillar)) \\1()2(3)": syntax error at col 34: unexpected token near ")"
testinput1:777  # PARSE_ERROR: Parse("(cat(a(ract|tonic)|erpillar)) \\1()2(3)"): parse "(cat(a(ract|tonic)|erpillar)) \\1()2(3)": syntax error at col 34: unexpected token near ")"
testinput1:787  # MATCH_MISMATCH: got matched=false, want true
testinput1:792  # MATCH_MISMATCH: got matched=false, want true
testinput1:795  # MATCH_MISMATCH: got matched=false, want true
testinput1:809  # PARSE_ERROR: Parse("\\w+(?=\\t)"): parse "\\w+(?=\\t)": syntax error at col 5: unexpected token near "?"
testinput1:813  # PARSE_ERROR: Parse("foo(?!bar)(.*)"): parse "foo(?!bar)(.*)": syntax error at col 5: unexpected token near "?"
testinput1:818  # PARSE_ERROR: Parse("(?:(?!foo)...|^.{0,2})bar(.*)"): parse "(?:(?!foo)...|^.{0,2})bar(.*)": syntax error at col 2: unexpected token near "?"
testinput1:821  # PARSE_ERROR: Parse("(?:(?!foo)...|^.{0,2})bar(.*)"): parse "(?:(?!foo)...|^.{0,2})bar(.*)": syntax error at col 2: unexpected token near "?"
testinput1:824  # PARSE_ERROR: Parse("(?:(?!foo)...|^.{0,2})bar(.*)"): parse "(?:(?!foo)...|^.{0,2})bar(.*)": syntax error at col 2: unexpected token near "?"
testinput1:827  # PARSE_ERROR: Parse("(?:(?!foo)...|^.{0,2})bar(.*)"): parse "(?:(?!foo)...|^.{0,2})bar(.*)": syntax error at col 2: unexpected token near "?"
testinput1:859  # MATCH_MISMATCH: got matched=false, want true
testinput1:863  # MATCH_MISMATCH: got matched=false, want true
testinput1:867  # MATCH_MISMATCH: got matched=false, want true
testinput1:871  # MATCH_MISMATCH: got matched=false, want true
testinput1:877  # PARSE_ERROR: Parse("(?!^)abc"): parse "(?!^)abc": syntax error at col 2: unexpected token near "?"
testinput1:880  # PARSE_ERROR: Parse("(?!^)abc"): parse "(?!^)abc": syntax error at col 2: unexpected token near "?"
testinput1:884  # PARSE_ERROR: Parse("(?=^)abc"): parse "(?=^)abc": syntax error at col 2: unexpected token near "?"
testinput1:887  # PARSE_ERROR: Parse("(?=^)abc"): parse "(?=^)abc": syntax error at col 2: unexpected token near "?"
testinput1:891  # MATCH_MISMATCH: got matched=false, want true
testinput1:896  # PARSE_ERROR: Parse("^[ab]{1,3}?(ab*|b)"): parse "^[ab]{1,3}?(ab*|b)": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:901  # PARSE_ERROR: Parse("^[ab]{1,3}?(ab*?|b)"): parse "^[ab]{1,3}?(ab*?|b)": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:1733  # MATCH_MISMATCH: got matched=false, want true
testinput1:1735  # MATCH_MISMATCH: got matched=false, want true
testinput1:1739  # MATCH_MISMATCH: got matched=false, want true
testinput1:1747  # MATCH_MISMATCH: got matched=false, want true
testinput1:1762  # PARSE_ERROR: Parse("^(cow|)\\1(bell)"): parse "^(cow|)\\1(bell)": syntax error at col 7: unexpected token near ")"
testinput1:1766  # PARSE_ERROR: Parse("^(cow|)\\1(bell)"): parse "^(cow|)\\1(bell)": syntax error at col 7: unexpected token near ")"
testinput1:1771  # PARSE_ERROR: Parse("^(cow|)\\1(bell)"): parse "^(cow|)\\1(bell)": syntax error at col 7: unexpected token near ")"
testinput1:1795  # PARSE_ERROR: Parse("^(a|)\\1*b"): parse "^(a|)\\1*b": syntax error at col 5: unexpected token near ")"
testinput1:1798  # PARSE_ERROR: Parse("^(a|)\\1*b"): parse "^(a|)\\1*b": syntax error at col 5: unexpected token near ")"
testinput1:1801  # PARSE_ERROR: Parse("^(a|)\\1*b"): parse "^(a|)\\1*b": syntax error at col 5: unexpected token near ")"
testinput1:1805  # PARSE_ERROR: Parse("^(a|)\\1*b"): parse "^(a|)\\1*b": syntax error at col 5: unexpected token near ")"
testinput1:1809  # PARSE_ERROR: Parse("^(a|)\\1+b"): parse "^(a|)\\1+b": syntax error at col 5: unexpected token near ")"
testinput1:1812  # PARSE_ERROR: Parse("^(a|)\\1+b"): parse "^(a|)\\1+b": syntax error at col 5: unexpected token near ")"
testinput1:1815  # PARSE_ERROR: Parse("^(a|)\\1+b"): parse "^(a|)\\1+b": syntax error at col 5: unexpected token near ")"
testinput1:1819  # PARSE_ERROR: Parse("^(a|)\\1+b"): parse "^(a|)\\1+b": syntax error at col 5: unexpected token near ")"
testinput1:1823  # PARSE_ERROR: Parse("^(a|)\\1?b"): parse "^(a|)\\1?b": syntax error at col 5: unexpected token near ")"
testinput1:1826  # PARSE_ERROR: Parse("^(a|)\\1?b"): parse "^(a|)\\1?b": syntax error at col 5: unexpected token near ")"
testinput1:1829  # PARSE_ERROR: Parse("^(a|)\\1?b"): parse "^(a|)\\1?b": syntax error at col 5: unexpected token near ")"
testinput1:1833  # PARSE_ERROR: Parse("^(a|)\\1?b"): parse "^(a|)\\1?b": syntax error at col 5: unexpected token near ")"
testinput1:1837  # PARSE_ERROR: Parse("^(a|)\\1{2}b"): parse "^(a|)\\1{2}b": syntax error at col 5: unexpected token near ")"
testinput1:1840  # PARSE_ERROR: Parse("^(a|)\\1{2}b"): parse "^(a|)\\1{2}b": syntax error at col 5: unexpected token near ")"
testinput1:1844  # PARSE_ERROR: Parse("^(a|)\\1{2}b"): parse "^(a|)\\1{2}b": syntax error at col 5: unexpected token near ")"
testinput1:1846  # PARSE_ERROR: Parse("^(a|)\\1{2}b"): parse "^(a|)\\1{2}b": syntax error at col 5: unexpected token near ")"
testinput1:1848  # PARSE_ERROR: Parse("^(a|)\\1{2}b"): parse "^(a|)\\1{2}b": syntax error at col 5: unexpected token near ")"
testinput1:1852  # PARSE_ERROR: Parse("^(a|)\\1{2,3}b"): parse "^(a|)\\1{2,3}b": syntax error at col 5: unexpected token near ")"
testinput1:1855  # PARSE_ERROR: Parse("^(a|)\\1{2,3}b"): parse "^(a|)\\1{2,3}b": syntax error at col 5: unexpected token near ")"
testinput1:1858  # PARSE_ERROR: Parse("^(a|)\\1{2,3}b"): parse "^(a|)\\1{2,3}b": syntax error at col 5: unexpected token near ")"
testinput1:1862  # PARSE_ERROR: Parse("^(a|)\\1{2,3}b"): parse "^(a|)\\1{2,3}b": syntax error at col 5: unexpected token near ")"
testinput1:1864  # PARSE_ERROR: Parse("^(a|)\\1{2,3}b"): parse "^(a|)\\1{2,3}b": syntax error at col 5: unexpected token near ")"
testinput1:1866  # PARSE_ERROR: Parse("^(a|)\\1{2,3}b"): parse "^(a|)\\1{2,3}b": syntax error at col 5: unexpected token near ")"
testinput1:1883  # MATCH_MISMATCH: got matched=false, want true
testinput1:1906  # MATCH_MISMATCH: got matched=false, want true
testinput1:1937  # MATCH_MISMATCH: got matched=false, want true
testinput1:1971  # PARSE_ERROR: Parse("(?:b)|(?::+)"): parse "(?:b)|(?::+)": syntax error at col 2: unexpected token near "?"
testinput1:1973  # PARSE_ERROR: Parse("(?:b)|(?::+)"): parse "(?:b)|(?::+)": syntax error at col 2: unexpected token near "?"
testinput1:1977  # PARSE_ERROR: Parse("[-az]+"): parse "[-az]+": syntax error at col 2: unexpected token near "-"
testinput1:1980  # PARSE_ERROR: Parse("[-az]+"): parse "[-az]+": syntax error at col 2: unexpected token near "-"
testinput1:1991  # SPAN_MISMATCH: matched "a", want "a-z"
testinput1:1994  # MATCH_MISMATCH: got matched=true, want false
testinput1:2002  # SPAN_MISMATCH: matched "-", want "12-34"
testinput1:2011  # MATCH_MISMATCH: got matched=false, want true
testinput1:2015  # MATCH_MISMATCH: got matched=false, want true
testinput1:2035  # MATCH_MISMATCH: got matched=false, want true
testinput1:2037  # MATCH_MISMATCH: got matched=false, want true
testinput1:2046  # MATCH_MISMATCH: got matched=false, want true
testinput1:2051  # MATCH_MISMATCH: got matched=false, want true
testinput1:2056  # MATCH_MISMATCH: got matched=false, want true
testinput1:2061  # MATCH_MISMATCH: got matched=false, want true
testinput1:2069  # MATCH_MISMATCH: got matched=false, want true
testinput1:2072  # MATCH_MISMATCH: got matched=false, want true
testinput1:2091  # MATCH_MISMATCH: got matched=false, want true
testinput1:2104  # MATCH_MISMATCH: got matched=false, want true
testinput1:2113  # MATCH_MISMATCH: got matched=false, want true
testinput1:2150  # PARSE_ERROR: Parse("(a|(bc)){0,0}?xyz"): parse "(a|(bc)){0,0}?xyz": compile: unrecognized quantifier shape: q_min,q_max,q_01
testinput1:2171  # PARSE_ERROR: Parse("(?s)a.b"): parse "(?s)a.b": syntax error at col 2: unexpected token near "?"
testinput1:2175  # MATCH_MISMATCH: got matched=false, want true
testinput1:2181  # MATCH_MISMATCH: got matched=false, want true
testinput1:2187  # MATCH_MISMATCH: got matched=false, want true
testinput1:2193  # MATCH_MISMATCH: got matched=false, want true
testinput1:2228  # MATCH_MISMATCH: got matched=false, want true
testinput1:2235  # MATCH_MISMATCH: got matched=false, want true
testinput1:2237  # MATCH_MISMATCH: got matched=false, want true
testinput1:2239  # MATCH_MISMATCH: got matched=false, want true
testinput1:2261  # MATCH_MISMATCH: got matched=false, want true
testinput1:2264  # MATCH_MISMATCH: got matched=false, want true
